fixture_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
65,6,1,8,1,5,3,11,2,4.0,46%,2.0,,3,485,399,82%,,
83,3,4,9,2,6,3,13,5,2.0,67%,1.0,,0,572,485,85%,,
94,5,12,23,6,16,7,11,5,2.0,57%,2.0,,2,488,375,77%,,
97,9,6,21,6,13,8,13,5,1.0,54%,3.0,1.0,2,513,438,85%,,
111,6,1,9,2,6,3,11,8,4.0,58%,3.0,1.0,4,520,419,81%,,
121,6,3,15,6,5,10,5,5,3.0,64%,1.0,,7,684,583,85%,,
125,4,1,9,4,5,4,12,9,4.0,51%,1.0,,1,457,392,86%,,
141,10,5,18,3,10,8,16,10,1.0,73%,2.0,,6,610,509,83%,,
148,4,3,7,0,6,1,17,3,1.0,38%,5.0,,4,371,282,76%,,
161,10,3,14,1,8,6,15,8,7.0,53%,2.0,,5,486,391,80%,,
166,8,6,18,4,13,5,12,5,5.0,52%,3.0,,6,447,356,80%,,
182,1,1,6,4,5,1,12,1,,36%,1.0,,2,380,319,84%,,
190,5,4,12,3,7,5,13,10,2.0,59%,1.0,,2,509,421,83%,,
204,5,4,11,2,7,4,13,5,2.0,60%,4.0,,4,520,436,84%,,
212,7,0,10,3,4,6,13,4,2.0,44%,3.0,,3,447,354,79%,,
222,11,6,20,3,14,6,11,10,4.0,62%,1.0,0.0,3,625,540,86%,,
229,2,3,6,1,2,4,14,2,3.0,36%,2.0,,7,321,211,66%,,
237,9,4,17,4,9,8,13,7,0.0,75%,1.0,,2,640,554,87%,,
251,10,2,16,4,10,6,9,5,1.0,64%,1.0,,1,634,529,83%,,
261,8,0,11,3,9,2,10,4,6.0,64%,2.0,1.0,2,681,618,91%,,
272,7,6,16,3,11,5,9,2,,66%,2.0,,3,687,593,86%,,
283,8,3,13,2,9,4,8,4,1.0,39%,2.0,,11,363,268,74%,,
290,5,9,20,6,12,8,11,6,1.0,56%,1.0,,2,507,431,85%,,
300,9,11,28,8,15,13,10,11,2.0,74%,1.0,,2,650,568,87%,,
311,6,2,10,2,8,2,9,2,1.0,56%,4.0,,6,532,432,81%,,
317,7,4,15,4,11,4,9,4,3.0,49%,2.0,,3,483,378,78%,,
332,3,1,6,2,4,2,15,3,3.0,35%,1.0,,1,317,233,74%,,
339,4,5,13,4,7,6,9,6,0.0,55%,3.0,,2,468,378,81%,,
350,6,9,16,1,9,7,7,9,2.0,64%,2.0,,1,511,409,80%,,
355,4,7,14,3,7,7,18,2,1.0,54%,2.0,,0,465,377,81%,,
383,5,1,8,2,5,3,14,3,4.0,51%,1.0,,7,431,340,79%,,
394,4,7,18,7,7,11,11,5,5.0,51%,4.0,1.0,2,515,417,81%,,
401,4,5,14,5,9,5,14,3,3.0,42%,1.0,,3,373,288,77%,,
409,1,5,7,1,3,4,7,2,1.0,52%,1.0,,4,417,329,79%,,
370,1,6,12,5,3,9,10,1,0.0,36%,2.0,,3,406,318,78%,,
421,5,2,7,0,6,1,9,6,5.0,51%,3.0,,2,467,390,84%,,
430,7,9,23,7,12,11,10,7,1.0,65%,1.0,,2,600,510,85%,,
441,10,10,26,6,13,13,9,11,3.0,73%,3.0,,2,620,526,85%,,
157024,5,2,11,4,7,4,15,3,2.0,46%,3.0,,7,449,363,81%,,
157034,2,4,9,3,5,4,8,6,1.0,66%,2.0,,1,668,579,87%,,
157039,3,13,22,6,14,8,8,8,,71%,2.0,,1,562,481,86%,,
157053,8,9,21,4,13,8,7,3,1.0,59%,2.0,0.0,1,537,427,80%,,
157059,5,5,10,0,4,6,14,3,0.0,41%,1.0,,3,345,258,75%,,
157074,3,2,9,4,5,4,9,7,1.0,54%,2.0,,4,479,399,83%,,
157081,4,6,16,6,4,12,18,8,2.0,54%,4.0,,4,440,350,80%,,
157090,3,5,12,4,7,5,10,6,2.0,69%,3.0,,1,594,512,86%,,
157101,2,4,7,1,3,4,6,3,4.0,32%,0.0,,3,299,199,67%,,
157111,11,7,21,3,13,8,10,10,0.0,54%,2.0,,2,480,406,85%,,
157115,4,6,15,5,5,10,12,10,4.0,58%,3.0,,5,488,383,78%,,
157129,11,5,21,5,12,9,10,5,0.0,42%,2.0,,1,358,287,80%,,
157142,5,4,11,2,7,4,10,3,1.0,60%,2.0,,5,587,476,81%,,
157149,6,7,16,3,10,6,16,9,1.0,62%,4.0,,1,525,452,86%,,
157160,7,3,12,2,7,5,9,4,1.0,46%,0.0,,4,441,335,76%,,
157169,7,2,11,2,9,2,10,3,,29%,2.0,,4,265,199,75%,,
157181,8,8,24,8,9,15,10,6,2.0,66%,1.0,,3,529,454,86%,,
157193,8,6,17,3,10,7,11,5,4.0,64%,1.0,,1,562,473,84%,,
157201,10,7,22,5,8,14,10,5,1.0,73%,2.0,,1,815,732,90%,,
157207,5,3,14,6,6,8,10,4,2.0,62%,3.0,,1,501,407,81%,,
157215,4,3,10,3,5,5,15,4,,52%,0.0,,2,542,462,85%,,
157231,6,4,13,3,9,4,18,4,2.0,59%,,,3,646,554,86%,,
157238,4,4,9,1,4,5,10,5,3.0,47%,3.0,,3,455,360,79%,,
157251,7,10,24,7,11,13,11,5,2.0,72%,0.0,,0,692,592,86%,,
157260,5,8,16,3,6,10,14,4,0.0,63%,3.0,,4,633,560,88%,,
157268,3,4,9,2,7,2,11,8,0.0,39%,3.0,,1,382,304,80%,,
157281,9,9,21,3,15,6,6,3,1.0,58%,0.0,,2,597,479,80%,,
157288,5,5,14,4,5,9,11,8,1.0,56%,4.0,,4,431,332,77%,,
157301,6,2,12,4,8,4,11,2,1.0,27%,2.0,,4,294,216,73%,,
157312,6,4,12,2,7,5,18,6,3.0,62%,1.0,,2,586,485,83%,,
157319,6,5,15,4,11,4,10,10,1.0,68%,1.0,,1,748,681,91%,,
157328,6,4,12,2,7,5,9,5,2.0,62%,1.0,,2,629,555,88%,,
157339,10,4,19,5,9,10,3,8,4.0,69%,0.0,,1,648,575,89%,,
157347,6,6,14,2,10,4,13,5,1.0,67%,3.0,,1,637,567,89%,,
157359,4,3,8,1,4,4,14,4,1.0,47%,1.0,,3,463,368,79%,,
157368,5,9,17,3,12,5,15,7,0.0,60%,2.0,,5,625,546,87%,,
157379,4,5,11,2,6,5,10,2,3.0,57%,3.0,,2,609,527,87%,,
157390,3,3,7,1,7,0,11,3,2.0,55%,5.0,0.0,3,518,426,82%,,
